decision_id	question	repository_evidence	chosen_semantics	alternatives_rejected	reason	implementation_implication	test_implication	guard_implication	architecture_escalation
D01	authority	frontend/src/app/routeTree.tsx:77 (const rootRoute); frontend/src/components/app-shell/AppShell.tsx:108 (export function ProductAppShell); frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider)	PROPOSED_SLICE_1C_DECISION: Router resolves navigation; application surface supplies explicit scope; Selection alone owns refs/primary/lifetime/revision.	Router-owned store	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T01: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D02	scope identity	frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider); frontend/src/interaction/model.ts:48 (export function createInteractionStore)	PROPOSED_SLICE_1C_DECISION: Use exact workspaceId?, projectId?, surfaceId; ref adds kind and localId. Optional means absent, not invented default ID. No pathname namespace.	URL string key	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T02: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D03	same scope	frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider); frontend/src/interaction/model.ts:48 (export function createInteractionStore)	PROPOSED_SLICE_1C_DECISION: Preserve only surviving active owner and valid adapter. Equal scope does not force a new lifetime. Reconcile projections; equal snapshot stays identical.	clear on every navigation	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T03: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D04	cross surface	frontend/src/surfaces/FoundationPages.tsx:64 (export function ProjectFrame); frontend/src/components/app-shell/AppShell.tsx:108 (export function ProductAppShell)	PROPOSED_SLICE_1C_DECISION: Canvas/nle/review/workflow and every different SurfaceId have distinct scope. Clear membership, new lifetime; no shared cross-surface requirement found.	global cross-surface Selection	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T04: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D05	project change	frontend/src/surfaces/FoundationPages.tsx:64 (export function ProjectFrame); frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider)	PROPOSED_SLICE_1C_DECISION: Different project invalidates old refs/primary; rotate lifetime. Never carry IDs even if localId matches.	ID-only project reuse	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T05: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D06	workspace change	frontend/src/surfaces/FoundationPages.tsx:64 (export function ProjectFrame); frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider)	PROPOSED_SLICE_1C_DECISION: Different workspace invalidates refs/primary; fresh lifetime, no workspace reuse.	global ID uniqueness assumption	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T06: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D07	owner retirement	frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider); frontend/src/interaction/model.ts:48 (export function createInteractionStore)	PROPOSED_SLICE_1C_DECISION: Destroying provider or unregistering its active adapter ends the presentation lifetime, even at equal scope. New mount starts empty. Incidental child rendering is not retirement.	route-keyed reconstruction	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T07: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D08	history and bfcache	frontend/src/app/routeTree.tsx:77 (const rootRoute); frontend/src/components/app-shell/AppShell.tsx:108 (export function ProductAppShell)	PROPOSED_SLICE_1C_DECISION: Back/Forward resolves target normally; no snapshot restoration. Same active document/scope may naturally survive. Document pagehide retires ownership; bfcache pageshow must re-enter empty with fresh lifetime before interaction. Do not equate bfcache replay with permitted same-document preservation.	history payload or bfcache resurrection	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T08: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D09	query and hash	frontend/src/app/routeTree.tsx:77 (const rootRoute); frontend/src/components/app-shell/AppShell.tsx:108 (export function ProductAppShell)	PROPOSED_SLICE_1C_DECISION: No Selection params currently parsed. Same-scope query/hash or #main-content may preserve surviving owner. If navigation destroys owner use retirement rule, not restoration.	query IDs as Selection	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T09: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D10	modal and subroute	frontend/src/interaction/InteractionShell.tsx:52 (SelectionInspector)	PROPOSED_SLICE_1C_DECISION: Inspector/Agent dialogs are local state, not registered subroutes. Their open/close changes focus/UI only; future same-scope nested view follows survival rule.	invent Inspector URL model	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T10: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D11	invalid target	frontend/src/foundation/projectContext.tsx:26 (const status:); frontend/src/app/routeTree.tsx:77 (const rootRoute)	PROPOSED_SLICE_1C_DECISION: Malformed/missing required route IDs or unsupported surface yields unavailable target with no active prior Selection. Known unavailable workspace/error clears/retires affected owner. Unknown project existence is not asserted deleted.	reuse old scope in failed destination	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T11: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D12	async resolution	frontend/src/foundation/projectContext.tsx:26 (const status:); frontend/src/surfaces/FoundationPages.tsx:64 (export function ProjectFrame)	PROPOSED_SLICE_1C_DECISION: Choose unavailable target during committed unresolved transition. Render loading/error shell without selectable adapter. Establish exact navigation scope from matched params and explicit SurfaceId, not raw pathname. Only current target responses can activate its presentation.	new URL labelled with old selected refs	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T12: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D13	atomic transition	frontend/src/interaction/SelectionContext.tsx:5 (export function SelectionProvider); frontend/src/surfaces/FoundationPages.tsx:64 (export function ProjectFrame); frontend/src/product/canvas/WorkspaceCanvas.tsx:57 (const cancelGesture)	PROPOSED_SLICE_1C_DECISION: At navigation commit stop old interaction, cancel gesture, retire old owner if needed, expose target context and scope together, register target adapter then reconcile before consumers interact. Abort before commit leaves old owner; never publish mixed route/scope authoritative snapshot.	post-paint router clear patch	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T13: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D14	gesture	frontend/src/product/canvas/WorkspaceCanvas.tsx:57 (const cancelGesture)	PROPOSED_SLICE_1C_DECISION: No drag/marquee/pan crosses retiring or scope-changing navigation. Cancel before old DOM retirement, discard preview, release capture; navigation cancellation does not commit geometry. Same-scope surviving navigation may retain Selection but cancels gesture if geometry/context invalidates.	gesture migration	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T14: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D15	Agent	frontend/src/interaction/model.ts:176 (export function applyProposal)	PROPOSED_SLICE_1C_DECISION: Lifetime change invalidates proposal; equal surviving lifetime/revision may keep it. Projection/revision changes still stale. Retired UI proposal discarded; retained captured object must fail existing applyProposal.	router approves stale proposal	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T15: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D16	focus	frontend/src/interaction/InteractionShell.tsx:52 (SelectionInspector)	PROPOSED_SLICE_1C_DECISION: Focus may move/reset without fabricated membership. Scope transition determines Selection; focus restoration cannot select an old ID. Preserve existing explicit native activation semantics.	focus equals selection	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T16: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D17	keyboard	frontend/src/components/app-shell/AppShell.tsx:66 (const listener)	PROPOSED_SLICE_1C_DECISION: No new router Delete/Arrow handlers or role=application. Existing shell Ctrl/Meta K is not Selection ownership; retain editable and IME exclusions. History shortcuts navigate, never restore refs.	global route-selection keyboard layer	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T17: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
D18	persistence	frontend/src/interaction/model.ts:48 (export function createInteractionStore)	PROPOSED_SLICE_1C_DECISION: No URL/history/storage/bookmark/IndexedDB/server/per-project cache or Selection undo history. Natural live store survival is not restoration.	saved snapshots	Preserve accepted single Selection authority; no scope expansion	Reuse store/provider; bounded application boundary only after ChatGPT approval	T18: assert decision using real route/provider integration and stale callbacks	Heuristic ownership guard plus integration tests; no formal-proof claim	NONE
